ARQUIVO,PARTIDO,FUSAO_MENCIONA,FUSAO_INSTANCIA,FUSAO_QUORUM,FUSAO_MAJ,FUSAO_VOTO,FUSAO_CRIA,FUSAO_REJEITA,INCORPORACAO_MENCIONA,INCORPORACAO_INSTANCIA,INCORPORACAO_QUORUM,INCORPORACAO_MAJ,INCORPORACAO_VOTO,INCORPORACAO_CRIA,INCORPORACAO_REJEITA,DISSOLUCAO_MENCIONA,DISSOLUCAO_INSTANCIA,DISSOLUCAO_QUORUM,DISSOLUCAO_MAJ,DISSOLUCAO_VOTO,DISSOLUCAO_CRIA,DISSOLUCAO_REJEITA,ESTATUTO_MENCIONA,ESTATUTO_INSTANCIA,ESTATUTO_QUORUM,ESTATUTO_MAJ,ESTATUTO_VOTO,ESTATUTO_CRIA,ESTATUTO_REJEITA,FEDERACAO_MENCIONA,FEDERACAO_INSTANCIA,FEDERACAO_MAJ,FEDERACAO_VOTO,FEDERACAO_CRIA,FEDERACAO_REJEITA,ID
LOPP,LOPP,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,0
tse-estatuto-do-partido-ptc-de-2-6-1997-resolucao.1998,AGIR,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL ESPECIAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,1
tse-estatuto-do-partido-ptc-de-11-11-2000.2001,AGIR,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, SEM CUMULAÇÃO, POR PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,2
tse-estatuto-do-partido-ptc-de-4-5-2003-resolucao.2003,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,3
tse-estatuto-do-partido-ptc-de-24-3-2007-resolucao.2007,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,4
tse-estatuto-do-partido-ptc-de-29-4-2008-resolucao.2008,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,5
estatuto-do-partido-ptc-de-26-11-2009-resolucao.2010,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,6
tse-estatuto-do-partido-ptc-de-27-7-2012-aprovado-em-4-10-2012,AGIR,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,7
tse-estatuto-do-partido-ptc-de-25-7-2015-aprovado-tse-em-5-5-2016-formato-pdf,AGIR,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,8
tse-estatuto-do-partido-ptc-de-20-2-2017-aprovado-tse-em-16-5-2017-formato-pdf,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 SIMPLES,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 SIMPLES,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 SIMPLES,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,9
tse-estatuto-do-partido-de-12-7-2021-1649163247821,AGIR,1,COMISSÃO EXECUTIVA NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,COMISSÃO EXECUTIVA NACIONAL,1,COMISSÃO EXECUTIVA NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,COMISSÃO EXECUTIVA NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,COMISSÃO EXECUTIVA NACIONAL,0,NA,NA,NA,NA,NA,10
estatuto-do-partido-trabalhista-do-brasil-de-6-4.1996,AVANTE,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL ESPECIAL,CONVENÇÃO NACIONAL ESPECIAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL ESPECIAL,CONVENÇÃO NACIONAL ESPECIAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL ESPECIAL,CONVENÇÃO NACIONAL ESPECIAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,2/3 SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,11
estatuto-do-partido-trabalhista-do-brasil-de-27-6.2010,AVANTE,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,2/3 SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,12
tse-estatuto-ptdob-de-7-12-2015-deferido-em-29-7-2016,AVANTE,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,2/3 SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,13
tse-estatuto-do-avante-de-25-4-2017-aprovado-em-12-9-2017,AVANTE,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL ESPECIAL,CONVENÇÃO NACIONAL ESPECIAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL ESPECIAL,CONVENÇÃO NACIONAL ESPECIAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL ESPECIAL,CONVENÇÃO NACIONAL ESPECIAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,2/3 SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,14
tse-estatuto-do-avante-de-21-7-2018-anotado-em-10-8-2018,AVANTE,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,2/3 SIMPLES,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,15
tse-estatuto-do-partido-pps-22-6-1998-resolucao-do,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,16
tse-estatuto-do-partido-pps-20-8-2002-resolucao-do,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO,  NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,17
tse-estatuto-do-partido-pps-26-a-28-3-2004,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO,  NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,18
tse-estatuto-do-partido-pps-7-12-2006-resolucao-do,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO,  NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,19
tse-estatuto-do-partido-pps-9-8-2009-resolucao-do,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO,  NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,20
estatuto-do-partido-de-11-4-2011-aprovado-em-8-5-2012,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO,  NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,21
tse-estatuto-do-partido-pps-de-16-12-2013-aprovado-em-11-6-2014,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,22
tse-estatuto-do-partido-cidadania-de-23-3-2019-aprovado-em-19-9-2019,CID,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,23
estatuto-do-partido-social-democrata-cristao-de-10.1996,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO OU ABERTO, SEM INFORMAÇÃO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,24
estatuto-do-partido-social-democrata-cristao-de-28.1997,DC,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO, SEM INFORMAÇÃO, SEM PROCURAÇÃO","PROPOSTA CRIADA POR COMISSÃO EXECUTIVA NACIONAL, OU 1/3 DAS COMISSÕES ESTADUAIS, OU 300 FILIADOS DISTRIBUÍDOS POR 1/3 DOS ESTADOS,",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,25
