Regra de Maioria,Partido
Quórum 30% + Maioria Simples,PP
Maioria Absoluta,"DEM, MDB, PATRI, PCdoB, PSD, PSDB, PTB, REP"
Maioria Absoluta em 2 Votações,PODE
Quórum Maioria Absoluta + 60% Aprovação,PV
2/3 Absoluto,"LOPP, AVANTE, CID, DC, PCB, PMB, PROS, PSB, PSL, PSTU, PT, PTC, SD"
2/3 Absoluto + 2/3 Assinaturas Fundadores,PRTB
2/3 Absoluto + Maioria Simples de Referendo,REDE
3/4 Absoluto,PL
3/5 Absoluto,PDT
4/5 Simples,NOVO
Consenso,PSC
Não Possui Dispositivo Dissolução,"PCO, PMN, PSOL, UP"
